episode_return,episode_length,loss,epsilon,avg_q
10.000000,10,0.731391,0.040837,5.222513
10.000000,10,7.639498,0.040530,5.251868
10.000000,10,2.116738,0.040226,5.288344
10.000000,10,0.380255,0.039925,5.303699
10.000000,10,4.565043,0.039628,5.317719
10.000000,10,0.375349,0.039333,5.395716
10.000000,10,0.841747,0.039041,5.419063
10.000000,10,3.848039,0.038752,5.452945
10.000000,10,5.462577,0.038466,5.503688
10.000000,10,0.266871,0.038183,5.603567
10.000000,10,0.240572,0.037902,5.630538
10.000000,10,7.873322,0.037625,5.563764
10.000000,10,1.701777,0.037350,5.469642
10.000000,10,6.279695,0.037078,5.486720
10.000000,10,8.041755,0.036808,5.439057
10.000000,10,7.338181,0.036541,5.375088
10.000000,10,9.741686,0.036277,5.355680
10.000000,10,2.881121,0.036016,5.365073
10.000000,10,5.804272,0.035757,5.381168
10.000000,10,7.400057,0.035501,5.428751
10.000000,10,0.332727,0.035247,5.477022
10.000000,10,0.421280,0.034996,5.451617
10.000000,10,6.248859,0.034747,5.463987
10.000000,10,0.547319,0.034501,5.476114
10.000000,10,0.503855,0.034257,5.484600
10.000000,10,8.903600,0.034016,5.497525
10.000000,10,5.910052,0.033777,5.506034
10.000000,10,1.402382,0.033540,5.475253
10.000000,10,0.572426,0.033306,5.461075
10.000000,10,0.369493,0.033074,5.411366
10.000000,10,0.587272,0.032844,5.365055
10.000000,10,0.256425,0.032617,5.339070
10.000000,10,1.358738,0.032392,5.291802
10.000000,10,1.645035,0.032169,5.261569
10.000000,10,0.846359,0.031949,5.155601
10.000000,10,0.903376,0.031730,5.036850
10.000000,10,1.015796,0.031514,4.972539
10.000000,10,11.888355,0.031300,4.947672
10.000000,10,0.502085,0.031088,4.973921
10.000000,10,0.520705,0.030878,4.979487
10.000000,10,2.326588,0.030670,4.908655
10.000000,10,0.779708,0.030465,4.883068
10.000000,10,10.629246,0.030261,4.930452
10.000000,10,6.018557,0.030060,4.957856
10.000000,10,2.136313,0.029860,4.962123
10.000000,10,1.417092,0.029662,5.003599
10.000000,10,0.504734,0.029467,5.000699
10.000000,10,0.690268,0.029273,4.974977
10.000000,10,8.289987,0.029081,5.021798
10.000000,10,1.103553,0.028891,5.046648
10.000000,10,0.017496,0.028703,5.112026
10.000000,10,0.680348,0.028517,5.183969
10.000000,10,5.009765,0.028333,5.214815
10.000000,10,11.187596,0.028151,5.192517
10.000000,10,5.505388,0.027970,5.169807
10.000000,10,3.846092,0.027791,5.162601
10.000000,10,4.701892,0.027614,5.188866
10.000000,10,2.015478,0.027439,5.233028
10.000000,10,1.231265,0.027265,5.359007
10.000000,10,6.902254,0.027094,5.432113
10.000000,10,0.267134,0.026924,5.348277
10.000000,10,0.318536,0.026755,5.299720
10.000000,10,5.470382,0.026588,5.284059
10.000000,10,0.389064,0.026423,5.303854
10.000000,10,1.737998,0.026260,5.301136
10.000000,10,5.507488,0.026098,5.302302
10.000000,10,1.627472,0.025938,5.295653
10.000000,10,0.679869,0.025779,5.301721
10.000000,10,0.557971,0.025622,5.315453
10.000000,10,0.196772,0.025467,5.327929
10.000000,10,0.646078,0.025313,5.318437
10.000000,10,5.278934,0.025161,5.284738
10.000000,10,6.625582,0.025010,5.226628
10.000000,10,1.823043,0.024860,5.227221
10.000000,10,0.071291,0.024713,5.264771
10.000000,10,2.868505,0.024566,5.272738
10.000000,10,0.204501,0.024421,5.288319
10.000000,10,0.208263,0.024278,5.260009
10.000000,10,0.063212,0.024136,5.266165
10.000000,10,1.436916,0.023995,5.314482
10.000000,10,1.155590,0.023856,5.387848
10.000000,10,5.280345,0.023718,5.444514
10.000000,10,6.419098,0.023581,5.366694
10.000000,10,0.370318,0.023446,5.299932
10.000000,10,6.426807,0.023313,5.258122
10.000000,10,4.786749,0.023180,5.207154
10.000000,10,9.978473,0.023049,5.211998
